epoch,train_loss,val_loss,val_bal_acc,seconds,learning rate
1,0.106289,0.046242,0.983664,35.94,0.0001
2,0.023521,0.042977,0.976211,15.88,0.0001
3,0.013775,0.046594,0.984834,15.14,0.0001
4,0.017095,0.02981,0.988801,14.95,0.0001
5,0.013854,0.023483,0.992067,15.44,0.0001
6,0.00525,0.109699,0.974325,15.28,0.0001
7,0.008239,0.020392,0.992302,15.5,0.0001
8,0.00711,0.144736,0.970823,15.3,0.0001
9,0.004585,0.028524,0.987405,15.38,0.0001
10,0.010635,0.020105,0.991602,15.2,0.0001
11,0.001019,0.022934,0.990436,15.25,0.0001
12,0.000444,0.018989,0.992302,15.62,0.0001
13,0.000303,0.019059,0.991602,15.15,0.0001
14,0.003795,0.042093,0.976912,15.16,0.0001
15,0.009452,0.128148,0.981793,15.06,0.0001
16,0.00786,0.043266,0.978072,15.24,0.0001
17,0.003253,0.074752,0.966418,15.09,0.0001
18,0.00948,0.027679,0.978777,15.26,0.0001
19,0.002165,0.019949,0.995333,15.37,0.0001
20,0.004722,0.026149,0.982509,16.49,0.0001
