epoch,train_loss,val_loss,val_bal_acc,seconds,learning rate
1,0.268411,0.151004,0.920461,33.72,0.001
2,0.169107,0.139065,0.906711,14.4,0.001
3,0.153789,0.111243,0.948911,13.92,0.001
4,0.150014,0.11994,0.922572,14.54,0.001
5,0.140379,0.10581,0.966867,15.04,0.001
6,0.132195,0.09697,0.938192,14.63,0.001
7,0.123105,0.091213,0.961276,14.73,0.001
8,0.140636,0.151644,0.953086,14.54,0.001
9,0.124667,0.087024,0.963842,14.62,0.001
10,0.117531,0.095691,0.934231,14.72,0.001
11,0.127276,0.086617,0.968738,14.34,0.001
12,0.121124,0.08775,0.969203,14.26,0.001
13,0.117414,0.09228,0.934231,15.3,0.001
14,0.117271,0.082469,0.946821,15.36,0.001
15,0.108577,0.091036,0.970134,15.33,0.001
16,0.114018,0.083944,0.942624,15.41,0.001
17,0.109672,0.084781,0.972234,15.28,0.001
18,0.105822,0.092822,0.975731,15.52,0.001
19,0.109921,0.078431,0.966407,15.24,0.001
20,0.099978,0.077419,0.960345,15.45,0.001
