epoch,train_loss,val_loss,val_bal_acc,seconds
1,0.502867,0.364007,0.872147,25.26
2,0.298604,0.253172,0.893145,6.4
3,0.287269,0.264664,0.914822,6.34
4,0.247627,0.207657,0.883377,6.33
5,0.242045,0.239118,0.815288,6.2
6,0.228134,0.192539,0.884548,6.21
7,0.216832,0.165537,0.911827,6.17
8,0.192853,0.164378,0.899243,6.2
9,0.179522,0.144766,0.93142,6.29
10,0.180472,0.161534,0.9356,6.24
11,0.161406,0.159292,0.930239,6.33
12,0.165202,0.158339,0.936536,6.35
13,0.152627,0.1304,0.943314,6.34
14,0.14867,0.130999,0.923732,6.52
15,0.154654,0.137528,0.921401,6.48
16,0.146663,0.126482,0.93143,6.49
17,0.140953,0.158874,0.889455,6.45
18,0.138134,0.114218,0.94588,6.43
19,0.13416,0.12787,0.929564,6.45
20,0.13457,0.121433,0.952872,6.39
21,0.129513,0.113528,0.944955,6.41
22,0.123092,0.107768,0.950547,6.38
23,0.11521,0.105465,0.952412,6.38
24,0.115395,0.124131,0.929099,6.28
25,0.108715,0.114535,0.955208,6.24
26,0.106161,0.097998,0.954978,6.41
27,0.105764,0.095951,0.956144,6.25
28,0.098739,0.094848,0.957779,6.36
29,0.093889,0.093935,0.948686,6.34
30,0.092155,0.098043,0.957074,6.44
