epoch,train_loss,val_loss,val_bal_acc,seconds
1,0.2005,0.1015,0.9627,24.03
2,0.1027,0.0835,0.9669,4.87
3,0.0870,0.0930,0.9561,4.81
4,0.0888,0.0779,0.9613,4.98
5,0.0620,0.0858,0.9515,4.89
6,0.0611,0.0875,0.9699,6.19
7,0.0638,0.0789,0.9680,6.23
8,0.0439,0.0715,0.9643,6.44
9,0.0333,0.0770,0.9736,6.21
10,0.0275,0.1332,0.9650,6.33
11,0.0155,0.1849,0.9669,6.33
12,0.0275,0.0803,0.9736,6.18
13,0.0061,0.1141,0.9659,6.42
14,0.0031,0.1558,0.9778,5.78
15,0.0204,0.1059,0.9739,6.00
16,0.0091,0.1246,0.9678,6.27
17,0.0011,0.1373,0.9736,6.21
18,0.0002,0.1453,0.9680,6.32
19,0.0001,0.1483,0.9718,6.21
20,0.0001,0.1516,0.9736,6.20
21,0.0001,0.1544,0.9736,6.25
22,0.0000,0.1572,0.9736,6.25
23,0.0000,0.1598,0.9680,5.78
24,0.0000,0.1621,0.9718,6.31
25,0.0000,0.1646,0.9718,6.39
26,0.0000,0.1664,0.9699,6.29
27,0.0000,0.1689,0.9718,6.24
28,0.0000,0.1710,0.9718,6.26
29,0.0000,0.1728,0.9718,6.24
30,0.0000,0.1748,0.9699,6.29
