epoch,train_loss,val_loss,val_bal_acc,seconds,learning rate
1,0.428115,0.310757,0.735299,25.02,0.00100000
2,0.298094,0.407357,0.630827,4.99,0.00099800
3,0.272191,0.223954,0.914848,4.93,0.00099400
4,0.244132,0.195899,0.90529,4.76,0.00098600
5,0.242202,0.21087,0.92114,4.86,0.00097600
6,0.230005,0.190236,0.915083,4.82,0.00096200
7,0.206897,0.179972,0.919515,4.89,0.00094600
8,0.198535,0.174807,0.923246,4.81,0.00092600
9,0.204391,0.162903,0.90507,4.81,0.00090500
10,0.199264,0.25228,0.812962,4.84,0.00088000
11,0.192406,0.156765,0.899708,4.83,0.00085400
12,0.16728,0.150031,0.910902,4.82,0.00082500
13,0.183666,0.141432,0.921626,4.89,0.00079400
14,0.164838,0.141665,0.916264,4.85,0.00076100
15,0.163625,0.13813,0.925587,4.77,0.00072700
16,0.158644,0.156778,0.93444,4.81,0.00069100
17,0.158349,0.140803,0.906706,4.87,0.00065500
18,0.144369,0.130715,0.933285,4.79,0.00061700
19,0.145116,0.145594,0.939572,4.89,0.00057800
20,0.14774,0.134542,0.915569,4.87,0.00053900
21,0.137456,0.136796,0.938177,4.76,0.00050000
22,0.136945,0.124941,0.934916,4.79,0.00046100
23,0.130763,0.123328,0.933991,4.78,0.00042200
24,0.127201,0.128496,0.943774,4.87,0.00038300
25,0.127467,0.121134,0.943544,4.81,0.00034500
26,0.12558,0.121188,0.933061,4.84,0.00030900
27,0.127439,0.114736,0.937252,4.99,0.00027300
28,0.119343,0.118427,0.947975,5.0,0.00023900
29,0.112017,0.131285,0.924203,5.11,0.00020600
30,0.116968,0.130089,0.927934,5.08,0.00017500
31,0.113102,0.119346,0.933061,5.09,0.00014600
32,0.110296,0.110336,0.938887,4.85,0.00012000
33,0.106921,0.111157,0.937022,4.84,0.00009550
34,0.1064,0.10915,0.940518,4.82,0.00007370
35,0.105543,0.111849,0.944944,4.86,0.00005450
36,0.10405,0.107693,0.937952,5.43,0.00003810
37,0.103182,0.108308,0.937022,6.22,0.00002450
38,0.102494,0.108428,0.942149,6.14,0.00001380
39,0.102173,0.10798,0.939117,6.14,0.00000616
40,0.101652,0.107809,0.939818,6.11,0.00000154
