epoch,train_loss,val_loss,val_bal_acc,seconds,learning rate
1,0.474704,0.359853,0.65298,23.43,0.001
2,0.336885,0.362022,0.651814,5.2,0.001
3,0.327764,0.275622,0.828337,6.76,0.001
4,0.305784,0.241072,0.845593,6.78,0.001
5,0.307834,0.229463,0.881736,6.86,0.001
6,0.295463,0.224753,0.914848,6.73,0.001
7,0.273048,0.226654,0.919029,6.81,0.001
8,0.251741,0.204639,0.923466,6.69,0.001
9,0.242452,0.16953,0.913223,6.81,0.001
10,0.244183,0.185406,0.887584,6.86,0.001
11,0.239437,0.192955,0.929763,6.94,0.001
12,0.214529,0.162096,0.930484,6.84,0.001
13,0.221942,0.173036,0.9342,6.76,0.001
14,0.208389,0.149993,0.919996,6.72,0.001
15,0.21517,0.151491,0.93351,6.43,0.001
16,0.204283,0.173392,0.931399,6.51,0.001
17,0.206075,0.14215,0.925352,6.47,0.001
18,0.190208,0.145433,0.936541,6.26,0.001
19,0.191864,0.174781,0.934665,6.55,0.001
20,0.186754,0.149219,0.941668,6.82,0.001
21,0.176513,0.157214,0.940497,6.65,0.001
22,0.171353,0.142331,0.93374,6.18,0.001
23,0.177229,0.131289,0.937247,6.42,0.001
24,0.169249,0.145315,0.942833,6.52,0.001
25,0.173734,0.13725,0.940973,6.14,0.001
26,0.163817,0.138141,0.941203,6.3,0.001
27,0.162693,0.200056,0.938621,6.25,0.001
28,0.160373,0.179505,0.942358,6.23,0.001
29,0.149606,0.111802,0.944014,6.46,0.001
30,0.166769,0.148143,0.945629,6.38,0.001
31,0.164472,0.109902,0.941453,6.34,0.001
32,0.14571,0.137569,0.950301,6.38,0.001
33,0.141705,0.127367,0.9489,6.61,0.001
34,0.143657,0.166739,0.945394,6.26,0.001
35,0.160051,0.137598,0.943998,6.3,0.001
36,0.152391,0.424808,0.893092,6.42,0.001
37,0.144604,0.193752,0.943053,6.28,0.001
38,0.135942,0.155871,0.949125,6.4,0.001
39,0.135635,0.151616,0.950061,6.35,0.001
40,0.146222,0.136523,0.954027,6.28,0.001
41,0.124384,0.13948,0.953327,5.07,0.001
42,0.135807,0.158753,0.948425,5.14,0.001
43,0.124347,0.173085,0.945389,5.17,0.001
44,0.119155,0.167192,0.948655,6.63,0.001
45,0.123927,0.224307,0.940947,6.45,0.001
46,0.126985,0.094871,0.957309,6.52,0.001
47,0.126183,0.14281,0.954027,6.64,0.001
48,0.11942,0.129784,0.956128,6.57,0.001
49,0.125411,0.207688,0.94935,6.69,0.001
50,0.118172,0.183562,0.950285,6.45,0.001
51,0.115424,0.141886,0.955193,6.49,0.001
52,0.116639,0.089728,0.961971,6.74,0.001
53,0.113685,0.237103,0.942812,6.78,0.001
54,0.112168,0.088998,0.962441,6.58,0.001
55,0.107052,0.247046,0.941412,6.57,0.001
56,0.109669,0.105564,0.958464,6.54,0.001
57,0.109489,0.087082,0.965937,6.61,0.001
58,0.108301,0.134119,0.952627,6.68,0.001
59,0.115582,0.189593,0.944218,5.81,0.001
60,0.107144,0.138519,0.956823,5.09,0.001
61,0.099777,0.304492,0.930907,5.11,0.001
62,0.103985,0.141475,0.957523,5.1,0.001
63,0.103844,0.162001,0.958689,5.06,0.001
64,0.101687,0.158208,0.957988,5.06,0.001
65,0.100926,0.10331,0.9608,5.13,0.001
66,0.10154,0.118847,0.964526,5.11,0.001
67,0.094301,0.16312,0.955652,5.04,0.001
68,0.103624,0.080412,0.965472,5.13,0.001
69,0.105926,0.153158,0.958454,5.07,0.001
70,0.095889,0.130527,0.958924,5.11,0.001
71,0.099889,0.141076,0.957988,5.1,0.001
72,0.089941,0.130244,0.959859,5.07,0.001
73,0.092743,0.216096,0.945148,5.03,0.001
74,0.086678,0.108431,0.971294,5.09,0.001
75,0.079429,0.091038,0.968033,5.06,0.001
76,0.082735,0.077662,0.971769,5.15,0.001
77,0.083726,0.163628,0.959389,5.12,0.001
78,0.082889,0.156375,0.957753,5.1,0.001
79,0.087935,0.121798,0.967557,5.17,0.001
80,0.075743,0.183789,0.954717,5.05,0.001
