epoch,train_loss,val_loss,val_bal_acc,seconds
1,0.50317,0.363091,0.86725,25.66
2,0.298699,0.254429,0.893145,6.49
3,0.287746,0.263131,0.915522,6.24
4,0.245762,0.204044,0.887574,6.3
5,0.236544,0.232862,0.829048,6.22
6,0.218786,0.184899,0.888514,6.23
7,0.204861,0.157708,0.909502,6.21
8,0.181497,0.15566,0.90321,6.18
9,0.169984,0.137013,0.935386,6.21
10,0.166903,0.167147,0.941197,6.26
11,0.152621,0.155271,0.940967,6.45
12,0.151924,0.147454,0.945634,5.28
13,0.141803,0.122801,0.940978,4.82
14,0.137126,0.124051,0.93166,5.04
15,0.14568,0.141773,0.919536,5.02
16,0.13613,0.11495,0.948681,5.04
17,0.126781,0.136686,0.918606,4.95
18,0.123719,0.112316,0.950547,4.98
19,0.117559,0.113564,0.936092,4.98
20,0.124423,0.109354,0.950782,4.94
21,0.115749,0.109476,0.94705,4.92
22,0.112076,0.105703,0.94495,4.83
23,0.1073,0.107867,0.951477,4.8
24,0.104535,0.106546,0.942159,4.85
25,0.098282,0.106587,0.954278,4.87
26,0.099488,0.092217,0.958945,4.94
27,0.096634,0.103213,0.957309,4.84
28,0.08896,0.095624,0.957079,4.96
29,0.087245,0.090115,0.958945,4.9
30,0.086559,0.099355,0.95941,4.99
31,0.105004,0.112179,0.953802,4.81
32,0.079637,0.091117,0.951952,4.83
33,0.07412,0.086537,0.95848,4.94
34,0.074997,0.197087,0.940251,4.88
35,0.07982,0.102699,0.956839,4.91
36,0.074408,0.092432,0.961505,4.92
37,0.075074,0.127358,0.958699,4.86
38,0.078285,0.141323,0.953327,4.91
39,0.071402,0.083088,0.956379,4.86
40,0.06471,0.087292,0.958244,4.97
41,0.05895,0.083595,0.958485,4.96
42,0.062803,0.09749,0.957539,6.18
43,0.062463,0.11553,0.957999,6.31
44,0.057409,0.087095,0.95848,6.19
45,0.062418,0.102204,0.949157,6.17
46,0.051411,0.090524,0.961276,5.52
47,0.05316,0.085735,0.959875,5.53
48,0.052192,0.084022,0.952188,6.19
49,0.053328,0.089012,0.963371,6.18
50,0.050615,0.088693,0.966407,6.3
51,0.040866,0.102158,0.968503,6.17
52,0.050547,0.153858,0.9298,6.29
53,0.061203,0.08199,0.955449,6.22
54,0.037304,0.078848,0.957549,6.36
55,0.051214,0.093578,0.970604,6.23
56,0.041772,0.089189,0.963606,6.29
57,0.038482,0.078447,0.961511,6.28
58,0.029523,0.098711,0.965707,6.17
59,0.049906,0.082388,0.961281,6.34
60,0.047888,0.079703,0.964777,6.12
61,0.02845,0.096584,0.965937,6.2
62,0.024244,0.089434,0.958015,6.25
63,0.028456,0.091195,0.966172,6.18
64,0.028772,0.100365,0.951487,6.23
65,0.024515,0.127399,0.927469,6.23
66,0.025733,0.086411,0.965942,6.26
67,0.035554,0.088735,0.959645,6.14
68,0.018647,0.090119,0.965942,6.13
69,0.036517,0.099479,0.967338,6.21
70,0.018163,0.080987,0.964542,6.28
71,0.013473,0.093686,0.964312,6.2
72,0.016351,0.11222,0.960581,6.11
73,0.011842,0.090394,0.962211,6.31
74,0.00892,0.097411,0.966407,6.23
75,0.00901,0.103974,0.961746,6.12
76,0.047302,0.169443,0.962896,6.33
77,0.013515,0.131854,0.965237,6.23
78,0.008169,0.094268,0.964312,6.06
79,0.010678,0.20028,0.96149,6.27
80,0.024897,0.098726,0.968038,6.19
