epoch,train_loss,val_loss,val_bal_acc,seconds,learning rate
1,0.42856,0.30692,0.740896,22.97,0.001
2,0.298678,0.403949,0.631992,4.86,0.001
3,0.27504,0.229062,0.915083,4.89,0.001
4,0.249065,0.199713,0.908556,5.49,0.001
5,0.246435,0.225311,0.921135,6.2,0.001
6,0.238031,0.196057,0.920445,6.21,0.001
7,0.212206,0.180493,0.921846,6.28,0.001
8,0.200148,0.180564,0.929773,6.1,0.001
9,0.201646,0.160736,0.901339,6.2,0.001
10,0.200931,0.230491,0.833485,6.36,0.001
11,0.192974,0.153244,0.902039,6.3,0.001
12,0.163569,0.152237,0.891315,6.32,0.001
13,0.182606,0.138159,0.933986,6.5,0.001
14,0.160982,0.143556,0.905541,6.29,0.001
15,0.164446,0.13584,0.935616,6.34,0.001
16,0.153817,0.135385,0.933986,6.45,0.001
17,0.159811,0.144676,0.899478,6.49,0.001
18,0.141652,0.1273,0.938882,5.12,0.001
19,0.14606,0.134599,0.939577,5.21,0.001
20,0.13903,0.119311,0.941683,5.11,0.001
21,0.137189,0.132375,0.940743,5.07,0.001
22,0.13687,0.135266,0.943544,5.06,0.001
23,0.131387,0.1388,0.915339,4.91,0.001
24,0.133129,0.117027,0.945645,4.98,0.001
25,0.131799,0.113609,0.942619,4.91,0.001
26,0.122968,0.112878,0.940288,4.91,0.001
27,0.117801,0.116888,0.949841,4.9,0.001
28,0.115411,0.105111,0.947516,5.01,0.001
29,0.111226,0.145444,0.902515,5.04,0.001
30,0.113831,0.113051,0.947975,5.03,0.001
31,0.110126,0.167864,0.881527,5.04,0.001
32,0.10526,0.104537,0.94542,4.96,0.001
33,0.104031,0.109813,0.940058,4.95,0.001
34,0.106033,0.11491,0.943549,4.88,0.001
35,0.110467,0.106577,0.937027,4.96,0.001
36,0.1001,0.143507,0.957758,5.04,0.001
37,0.102135,0.167496,0.955422,4.91,0.001
38,0.092317,0.098394,0.951712,4.91,0.001
39,0.099085,0.10172,0.956609,4.97,0.001
40,0.089175,0.093247,0.956614,4.92,0.001
41,0.085906,0.096393,0.948921,4.93,0.001
42,0.086564,0.090225,0.956149,5.03,0.001
43,0.081154,0.116414,0.955668,4.93,0.001
44,0.073851,0.100243,0.961505,5.48,0.001
45,0.082411,0.132181,0.961025,6.23,0.001
46,0.071372,0.11521,0.925603,6.09,0.001
47,0.084023,0.095547,0.953107,6.23,0.001
48,0.068792,0.102551,0.962201,6.25,0.001
49,0.069018,0.091145,0.961976,6.14,0.001
50,0.063707,0.09974,0.953583,6.19,0.001
51,0.060642,0.086259,0.952653,6.18,0.001
52,0.08312,0.090738,0.95988,6.3,0.001
53,0.059676,0.085847,0.955914,6.29,0.001
54,0.062705,0.089041,0.95871,6.22,0.001
55,0.057772,0.09455,0.963836,6.19,0.001
56,0.064276,0.090884,0.94589,6.21,0.001
57,0.060938,0.090189,0.951487,6.24,0.001
58,0.049754,0.086002,0.950317,6.2,0.001
59,0.065247,0.12432,0.966397,6.27,0.001
60,0.050105,0.084148,0.95941,6.25,0.001
61,0.044953,0.176514,0.956593,6.21,0.001
62,0.04866,0.085195,0.959645,6.18,0.001
63,0.048063,0.09812,0.960805,6.23,0.001
64,0.044196,0.08618,0.963612,6.17,0.001
65,0.037806,0.1118,0.947056,6.17,0.001
66,0.035418,0.093728,0.953818,6.24,0.001
67,0.044047,0.089866,0.953118,6.16,0.001
68,0.045463,0.095863,0.962206,6.19,0.001
69,0.03553,0.088565,0.961976,6.24,0.001
70,0.045708,0.082858,0.961976,6.18,0.001
71,0.027841,0.103463,0.967568,6.2,0.001
72,0.029635,0.133121,0.923037,6.28,0.001
73,0.023986,0.092515,0.965942,6.27,0.001
74,0.020912,0.094975,0.96081,6.27,0.001
75,0.027931,0.089019,0.958015,6.29,0.001
76,0.017984,0.11554,0.947756,6.5,0.001
77,0.047761,0.114583,0.97433,6.35,0.001
78,0.026523,0.103519,0.970834,6.19,0.001
79,0.020021,0.100667,0.954983,5.67,0.001
80,0.020288,0.133244,0.970128,4.98,0.001
